date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:40	3683/3683	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d478cbca53068eab7a923552943d4dd2%22	https://v0-thinkia-landing-page.vercel.app/robots.txt		(from )
21:13:43	32271/32271	---MCZ	200	added ('OK')	text/html	etag:W/%220880fe3a44fbb4ad8abb93432951078f%22	https://v0-thinkia-landing-page.vercel.app/	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/index.html	(from )
21:13:43	35468/35468	---M--	200	added ('OK')	font/woff2	etag:%22ea21cc6e4b393851204d1a3160ad6abc%22	https://v0-thinkia-landing-page.vercel.app/_next/static/media/4f05ba3a6752a328-s.p.woff2	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/media/4f05ba3a6752a328-s.p.woff2	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:44	21444/21444	---M--	200	added ('OK')	font/woff2	etag:%225b79e05c7f2a400cd2a602d76415133e%22	https://v0-thinkia-landing-page.vercel.app/_next/static/media/a1babfd45ff8cabf-s.p.woff2	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/media/a1babfd45ff8cabf-s.p.woff2	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:44	387029/387029	---M--	200	added ('OK')	image/png	etag:%2205afd6f5d62853bf4d94cd4cb15ce0ea%22	https://v0-thinkia-landing-page.vercel.app/thinkia-star.png	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/thinkia-star.png	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:44	12004/12004	---MCZ	200	added ('OK')	text/css	etag:W/%22b6c5b644ac6ef91cd98320b09cf56bf7%22	https://v0-thinkia-landing-page.vercel.app/_next/static/css/7aa261cecc666678.css	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/css/7aa261cecc666678.css	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:45	106975/106975	---MCZ	200	added ('OK')	text/css	etag:W/%22a996bf575d6e47012c042c52ceda30d6%22	https://v0-thinkia-landing-page.vercel.app/_next/static/css/92795360c6c6727c.css	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/css/92795360c6c6727c.css	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:45	3851/3851	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cba0521b075bfa75203440cf19cae124%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/webpack-1617e47c0035b0a2.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/webpack-1617e47c0035b0a2.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:46	169106/169106	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e7a1ee0209d4d78e66b00acbb517bf4%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/4bd1b696-05e7186cde350658.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/4bd1b696-05e7186cde350658.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:47	172958/172958	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9bf22aa187fc90aede6e09d6b62fe54%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/684-03559e6b9fc7debb.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/684-03559e6b9fc7debb.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:48	506/506	---M--	200	added ('OK')	application/javascript	etag:%222bb99abd2e92a3b81e12d1706075a6d2%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/main-app-c9779a9cf3f89b5e.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/main-app-c9779a9cf3f89b5e.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:48	47658/47658	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280843c1dbb9b2b39dd7a1b34f7423be8%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/514-657017d7383b343b.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/514-657017d7383b343b.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:48	16655/16655	---MCZ	200	added ('OK')	application/javascript	etag:W/%229936dbaab93e2971dc922abac7086097%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/app/page-7f29f4a995b042e7.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/app/page-7f29f4a995b042e7.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:49	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b38a2d0cd705066e9e7c9be8720c5ea%22	https://v0-thinkia-landing-page.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:50	103968/103968	---M--	200	added ('OK')	image/png	etag:%2227609ba7bc624aaa96fa59cbbe21e41a%22	https://v0-thinkia-landing-page.vercel.app/thinkia-logo-hq.png	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/thinkia-logo-hq.png	(from https://v0-thinkia-landing-page.vercel.app/)
21:13:50	13976/13976	---M--	200	added ('OK')	font/woff2	etag:%22d86555a5e7aeaed3fa5d079c89e5db3f%22	https://v0-thinkia-landing-page.vercel.app/_next/static/media/b3097673cd409a21-s.woff2	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/media/b3097673cd409a21-s.woff2	(from https://v0-thinkia-landing-page.vercel.app/_next/static/css/7aa261cecc666678.css)
21:13:50	11724/11724	---M--	200	added ('OK')	font/woff2	etag:%2226118a7c8618129f4c03fc205c1a246c%22	https://v0-thinkia-landing-page.vercel.app/_next/static/media/ca6575bd379d984c-s.woff2	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/media/ca6575bd379d984c-s.woff2	(from https://v0-thinkia-landing-page.vercel.app/_next/static/css/7aa261cecc666678.css)
21:13:51	6300/6300	---M--	200	added ('OK')	font/woff2	etag:%22b193acd7fd3a208e6dd7a644bd39f66a%22	https://v0-thinkia-landing-page.vercel.app/_next/static/media/b72a6a678d511e3a-s.woff2	C:/Meus%20Sites/thinkia/v0-thinkia-landing-page.vercel.app/_next/static/media/b72a6a678d511e3a-s.woff2	(from https://v0-thinkia-landing-page.vercel.app/_next/static/css/7aa261cecc666678.css)
